Reference, Value, Footprint, Datasheet
R11-1,22K,MyModules:SM0603-R-JRL,
R16,4.7K,MyModules:SM0603-R-JRL,
R2-1,22K,MyModules:SM0603-R-JRL,
R7-1,10K,MyModules:SM0603-R-JRL,
R13-1,22K,MyModules:SM0603-R-JRL,
Q3,MMBT3904,MyModules:SOT23-132-JRL,
Q7,MMBT3906,MyModules:SOT23-132-JRL,
R12-1,22K,MyModules:SM0603-R-JRL,
R17,4.7K,MyModules:SM0603-R-JRL,
R1-1,22K,MyModules:SM0603-R-JRL,
R8-1,10K,MyModules:SM0603-R-JRL,
R131-1,22K,MyModules:SM0603-R-JRL,
R130-1,10K,MyModules:SM0603-R-JRL,
R135,10K,MyModules:SM0603-R-JRL,
Q21,MMBT3904,MyModules:SOT23-132-JRL,
C60-1,10μ,MyModules:2MM-POL-CAP,
R133-1,10K,MyModules:SM0603-R-JRL,
Q22/23,DMMT3904W,MyModules:SOT363-JRL,
R132-1,100K,MyModules:SM0603-R-JRL,
VR3-1,2meg(B),MyModules:RD901F-ALPHA-POT,
Q24,MMBT3904,MyModules:SOT23-132-JRL,
R134,100K,MyModules:SM0603-R-JRL,
R137,470,MyModules:SM0603-R-JRL,
R138,470,MyModules:SM0603-R-JRL,
C62,0.47μ,MyModules:2MM-POL-CAP,
R139,1meg,MyModules:SM0603-R-JRL,
R140,33K,MyModules:SM0603-R-JRL,
R143,33K,MyModules:SM0603-R-JRL,
Q29-1,MMBT3904,MyModules:SOT23-132-JRL,
C61-1,47μ,MyModules:2MM-POL-CAP,
R136,100,MyModules:SM0603-R-JRL,
Q28-1,MMBT3904,MyModules:SOT23-132-JRL,
R141,33K,MyModules:SM0603-R-JRL,
R173-1,330K,MyModules:SM0603-R-JRL,
C63-1,0.47μ,MyModules:2MM-POL-CAP,
C67-1,0.022μ,MyModules:SM0603-C-JRL,
R149,1meg,MyModules:SM0603-R-JRL,
R148,1meg,MyModules:SM0603-R-JRL,
Q27,MMBT3904,MyModules:SOT23-132-JRL,
R145,100,MyModules:SM0603-R-JRL,
C65-1,0.0015μ,MyModules:SM0603-C-JRL,
C64,0.0015μ,MyModules:SM0603-C-JRL,
D13,1N4148,MyModules:SOD323-C1A2,
R144,33K,MyModules:SM0603-R-JRL,
C66-1,0.0015μ,MyModules:SM0603-C-JRL,
C68-1,0.0015μ,MyModules:SM0603-C-JRL,
R146,68K,MyModules:SM0603-R-JRL,
Q26,MMBT3904,MyModules:SOT23-132-JRL,
R147,2.7K,MyModules:SM0603-R-JRL,
R156-1,22K,MyModules:SM0603-R-JRL,
U7,4558,MyModules:TSSOP8-JRL,
R158-1,47K,MyModules:SM0603-R-JRL,
R160-1,39K,MyModules:SM0603-R-JRL,
C80,470p,MyModules:SM0603-C-JRL,
C79,220p,MyModules:SM0603-C-JRL,
R159-1,470K,MyModules:SM0603-R-JRL,
VR7-1,100K(A),MyModules:RD901F-ALPHA-POT,
R169-1,1K,MyModules:SM0603-R-JRL,
C71-1,0.022μ,MyModules:SM0603-C-JRL,
R150,1meg,MyModules:SM0603-R-JRL,
R151,1meg,MyModules:SM0603-R-JRL,
Q30,MMBT3904,MyModules:SOT23-132-JRL,
R152-1,100,MyModules:SM0603-R-JRL,
C70-1,0.0015μ,MyModules:SM0603-C-JRL,
C69-1,0.0015μ,MyModules:SM0603-C-JRL,
D14,1N4148,MyModules:SOD323-C1A2,
R316,33K,MyModules:SM0603-R-JRL,
C72-1,0.001μ,MyModules:SM0603-C-JRL,
C73-1,0.001μ,MyModules:SM0603-C-JRL,
R155-1,68K,MyModules:SM0603-R-JRL,
Q31-1,MMBT3904,MyModules:SOT23-132-JRL,
R153-1,2.7K,MyModules:SM0603-R-JRL,
R154-1,22K,MyModules:SM0603-R-JRL,
R157-1,47K,MyModules:SM0603-R-JRL,
R162-1,33K,MyModules:SM0603-R-JRL,
C74-1,470p,MyModules:SM0603-C-JRL,
R161-1,470K,MyModules:SM0603-R-JRL,
VR8-1,100K(A),MyModules:RD901F-ALPHA-POT,
C83-1,33μ,MyModules:2MM-POL-CAP,
R172-1,1K,MyModules:SM0603-R-JRL,
R23,100K,MyModules:SM0603-R-JRL,
R19,100K,MyModules:SM0603-R-JRL,
R20,15K,MyModules:SM0603-R-JRL,
D1,1N4148,MyModules:SOD323-C1A2,
R22,3.3K,MyModules:SM0603-R-JRL,
R21,3.3K,MyModules:SM0603-R-JRL,
R18,3.3K,MyModules:SM0603-R-JRL,
C82-1,220p,MyModules:SM0603-C-JRL,
C8-1,33μ,MyModules:2MM-POL-CAP,
TP22,TEST_POINT,MyModules:TEST_POINT_LOOP_4592,
TP23,TEST_POINT,MyModules:TEST_POINT_LOOP_4592,
TP24,TEST_POINT,MyModules:TEST_POINT_LOOP_4592,
TP25,TEST_POINT,MyModules:TEST_POINT_LOOP_4592,
OC1,6N137,MyModules:8-SMD,
R398,1K,MyModules:SM0603-R-JRL,
C175,0.1µ,MyModules:SM0603-C-JRL,
D15,1N4148,MyModules:SOD323-C1A2,
TP16,CONN_1,MyModules:TEST_POINT_LOOP_4592,
C189,10µF,MyModules:2MM-POL-CAP,
C188, 10µ,MyModules:2MM-POL-CAP,
U35,R-78E5.0-1.0,MyModules:R-78E-0.5,
TP18,CONN_1,MyModules:TEST_POINT_LOOP_4592,
